Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Velocidad media,Velocidad máxima,Ascenso total,Descenso total,Longitud media de zancada,Normalized Power® (NP®),Training Stress Score®,Potencia media máxima (20 minutos),Potencia media,Potencia máxima,Pedaladas totales,Swolf medio,Velocidad media de palada,Pasos,Temperatura mínima,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Estrés medio,Estrés máximo,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Ciclismo en sala,2025-09-09 16:36:29,false,"Ciclismo en sala","0,00","64","00:09:19,4","--","--","--","--","--","--","--","--","--","--","131","4,3","--","114","187","--","--","--","--","20,0","No","00:09:19,4","1","22,0","--","--","00:00:00","00:10:02","699","700"
Ciclismo,2025-09-08 19:03:49,false,"Madrid Ciclismo","33,87","1.214","01:15:09","--","--","--","--","--","27,0","53,6","178","195","--","--","0,0","--","--","--","--","--","--","--","20,0","No","01:15:09","1","25,0","--","--","01:14:53","01:16:24","601","670"
Ciclismo en sala,2025-09-08 08:34:17,false,"Ciclismo en sala","0,00","380","00:45:02","--","--","--","--","--","--","--","--","--","--","151","28,4","161","141","239","--","--","--","--","19,0","No","00:45:02","1","23,0","--","--","00:00:00","00:45:15","656","658"
Ciclismo en sala,2025-09-07 13:17:38,false,"Ciclismo en sala","0,00","260","00:29:21","--","--","--","--","--","--","--","--","--","--","202","33,1","153","147","530","--","--","--","--","21,0","No","00:29:21","1","24,0","--","--","00:00:00","00:37:48","648","1.389"
Ciclismo en sala,2025-09-06 09:47:26,false,"Ciclismo en sala","0,00","10","00:04:41,2","--","--","--","--","--","--","--","--","--","--","53","0,3","--","38","133","--","--","--","--","28,0","No","00:04:41,2","1","29,0","--","--","00:00:00","00:04:41,2","646","647"
Ciclismo,2025-08-31 17:19:44,false,"Madrid Ciclismo","10,43","360","00:42:37","--","--","--","--","--","14,7","43,0","129","163","--","--","0,0","--","--","--","--","--","--","--","26,0","No","00:42:37","1","28,0","--","--","00:36:38","00:42:37","622","703"
Ciclismo en sala,2025-08-31 16:45:22,false,"Ciclismo en sala","0,00","--","00:33:58","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","--","24,0","No","00:33:58","1","27,0","--","--","00:00:00","00:33:58","629","729"
Ciclismo en sala,2025-08-30 08:10:41,false,"Ciclismo en sala","0,00","437","00:48:26","--","--","--","--","--","--","--","--","--","--","184","45,6","173","151","285","--","--","--","--","22,0","No","00:48:26","1","27,0","--","--","00:00:00","00:48:51","660","663"
Ciclismo,2025-08-28 16:54:13,false,"Madrid Ciclismo","31,27","1.010","02:01:07","--","--","--","--","--","15,5","44,3","322","386","--","--","0,0","--","--","--","--","--","--","--","24,0","No","02:01:07","1","29,0","--","--","01:48:10","02:01:07","577","702"
Ciclismo,2025-08-26 19:20:37,false,"Madrid Ciclismo","13,56","357","00:34:22","149","188","--","--","--","23,7","49,1","64","73","--","--","0,0","--","--","--","--","--","--","--","28,0","No","00:34:22","1","30,0","--","--","00:30:14","00:34:22","590","617"
Ciclismo,2025-08-26 18:11:44,false,"Madrid Ciclismo","12,79","335","00:32:13","143","184","--","--","--","23,8","53,6","84","57","--","--","0,0","--","--","--","--","--","--","--","32,0","No","00:32:13","1","34,0","--","--","00:31:02","00:34:58","625","660"
Ciclismo en sala,2025-08-26 08:56:14,false,"Ciclismo en sala","0,00","326","00:35:52","145","181","--","--","--","--","--","--","--","--","173","29,7","162","151","307","--","--","--","--","22,0","No","00:35:52","1","25,0","--","--","00:00:00","00:43:15","675","678"
Ciclismo en sala,2025-08-25 08:47:55,false,"Ciclismo en sala","0,00","347","00:45:58","138","159","--","--","--","--","--","--","--","--","143","26,0","157","126","206","--","--","--","--","23,0","No","00:45:58","1","26,0","--","--","00:00:00","00:45:58","699","703"
Carrera,2025-08-15 20:34:22,false,"Santander Carrera","6,24","507","00:35:34","--","--","--","158","169","5:42","3:58","50","49","1,11","--","0,0","--","--","--","--","--","--","5.628","--","No","00:01:08,4","7","--","--","--","00:35:33","00:35:34","9","57"
Carrera,2025-08-15 18:45:57,false,"Santander Carrera","0,34","17","00:07:55,1","--","--","--","49","178","23:32","5:40","--","--","0,87","--","0,0","--","--","--","--","--","--","390","--","No","00:07:55,1","1","--","--","--","00:05:54","00:07:55,1","--","--"
Carrera,2025-08-15 17:49:15,false,"Santander Carrera","0,76","39","00:07:07,5","--","--","--","54","141","9:21","3:50","--","--","2,00","--","0,0","--","--","--","--","--","--","382","--","No","00:07:07,5","1","--","--","--","00:07:02","00:07:07,5","-14","4"
Carrera,2025-08-15 17:10:50,false,"Santander Carrera","0,25","17","00:13:01","--","--","--","20","129","52:35","5:11","--","--","0,94","--","0,0","--","--","--","--","--","--","262","--","No","00:13:01","1","--","--","--","00:03:01","00:13:01","--","--"
Ciclismo,2025-08-14 16:33:40,false,"Madrid Ciclismo","8,88","258","00:24:37","146","185","--","--","--","21,6","41,7","89","36","--","--","0,0","--","--","--","--","--","--","--","38,0","No","00:24:37","1","40,0","--","--","00:24:36","00:24:37","603","676"
Ciclismo,2025-08-14 13:48:42,false,"Madrid Ciclismo","49,75","1.720","01:57:06","--","--","--","--","--","25,5","59,6","275","488","--","--","0,0","--","--","--","--","--","--","--","24,0","No","01:57:06","1","40,0","--","--","01:55:48","02:05:35","586","810"
Carrera,2025-08-12 18:41:05,false,"Madrid Carrera","9,13","694","00:50:41","152","167","--","159","175","5:33","4:06","91","92","1,13","--","0,0","--","--","--","--","--","--","8.122","--","No","00:00:34,6","10","--","--","--","00:50:38","01:03:06","630","675"
Carrera,2025-08-04 13:05:57,false,"Madrid Carrera","6,01","425","00:27:31","--","--","--","152","174","4:35","3:53","101","96","1,43","--","0,0","--","--","--","--","--","--","4.250","--","No","00:00:01,8","7","--","--","--","00:27:28","00:51:00","632","680"
Natación en piscina,2025-07-28 18:14:44,false,"Natación en piscina","1.450","313","00:32:08","--","--","--","--","--","2:07","0:48","--","--","--","--","0,0","--","--","--","692","44","22","--","--","No","00:00:02,3","2","--","--","--","00:30:46","00:32:12","--","--"
Ciclismo,2025-07-26 11:09:06,false,"Madrid Ciclismo","77,23","1.747","03:36:55","141","182","--","--","--","21,4","58,5","722","1.311","--","--","0,0","--","--","--","--","--","--","--","21,0","No","03:36:55","1","35,0","--","--","03:07:43","03:42:07","610","1.222"
Carrera,2025-07-25 12:22:27,false,"Madrid Carrera","6,72","462","00:34:00","172","198","--","158","185","5:03","3:41","113","103","1,25","--","0,0","--","--","--","--","--","--","5.422","--","No","00:03:36,7","7","--","--","--","00:33:47","00:49:15","631","687"
Natación en piscina,2025-07-22 19:13:56,false,"Natación en piscina","2.233","503","00:27:15","--","--","--","--","--","1:13","0:28","--","--","--","--","0,0","--","--","--","647","34","24","--","--","No","00:00:02,4","2","--","--","--","00:27:13","00:27:23","--","--"
Natación en piscina,2025-07-21 16:55:14,false,"Natación en piscina","1.600","361","00:17:02","--","--","--","--","--","0:52","0:22","--","--","--","--","0,0","--","--","--","419","39","30","--","--","No","00:00:01,4","7","--","--","--","00:13:59","00:17:20","--","--"
Ciclismo,2025-07-15 16:37:24,false,"Madrid Ciclismo","24,92","508","01:09:10","129","163","--","--","--","21,6","44,1","187","1.204","--","--","0,0","--","--","--","--","--","--","--","29,0","No","01:09:10","1","39,0","--","--","01:09:03","01:14:22","591","1.502"
Carrera,2025-07-14 18:34:22,false,"Madrid Carrera","0,32","17","00:03:05,4","--","--","--","100","165","9:42","6:34","--","--","1,03","--","0,0","--","--","--","--","--","--","314","--","No","00:03:05,4","1","--","--","--","00:03:05,4","00:03:06,5","646","651"
Carrera,2025-07-14 18:25:44,false,"Madrid Carrera","0,93","65","00:08:04,8","--","--","--","123","172","8:44","3:31","5","9","0,93","--","0,0","--","--","--","--","--","--","998","--","No","00:08:04,8","1","--","--","--","00:08:04,8","00:08:06,4","631","644"
Carrera,2025-07-14 18:09:58,false,"Madrid Carrera","1,77","126","00:08:51,0","--","--","--","149","186","4:59","4:02","17","37","1,35","--","0,0","--","--","--","--","--","--","1.330","--","No","00:04:18,6","2","--","--","--","00:08:49,5","00:10:42","631","667"
Natación en piscina,2025-07-12 10:25:01,false,"Natación en piscina","4.000","928","01:04:22","--","--","--","--","--","1:34","0:50","--","--","--","--","0,0","--","--","--","1481","33","24","--","--","No","00:02:01,0","4","--","--","--","01:02:52","01:07:49","--","--"
Natación en piscina,2025-07-11 17:41:07,false,"Natación en piscina","2.025","448","00:35:26","--","--","--","--","--","1:43","0:52","--","--","--","--","0,0","--","--","--","831","36","24","--","--","No","00:01:39,4","4","--","--","--","00:34:46","00:39:46","--","--"
Carrera,2025-07-10 09:22:43,false,"Madrid Carrera","0,54","33","00:02:20,7","159","177","1,4","166","173","4:19","3:42","21","--","1,39","--","0,0","--","--","--","--","--","--","382","--","No","00:02:20,7","1","--","--","--","00:02:20","00:04:40,2","650","678"
Carrera,2025-07-10 08:57:35,false,"Madrid Carrera","2,30","159","00:11:52","156","177","2,4","159","177","5:09","3:53","35","44","1,22","--","0,0","--","--","--","--","--","--","1.834","--","No","00:03:17,5","2","--","--","--","00:11:50","00:21:52","631","675"
Carrera,2025-07-10 08:34:00,false,"Madrid Carrera","3,70","295","00:18:53","178","193","3,4","165","175","5:06","4:21","35","57","1,19","--","0,0","--","--","--","--","--","--","3.088","--","No","00:02:19,8","3","--","--","--","00:18:39","00:22:01","631","675"
